,q_a,label
62,i'm not fake (:r sorry.,1
63,If Your Going To Be Rude  Give Smart Ass Answers; We Will Unfollow You. :],1
64,im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit head,1
65,Learn how to spell? Learn how to tell apart a typo from a spelling error.   And learn how to be a proper fake.,1
66,LMFAO  you're fucking creepy  must have no friends nor life  if you have to create muliple formsprings of yourself  saying theyre fakes. Quit thinking everyone wants to be you   they copy you. No one would fake you. I'm sorry your such a pathetic poser.,1
67,no body likes yuuuuuuu!,1
68,No honestly your really immature :),1
69,Nope. I actually have a life. *COUGHCOUGH* unlike you  the lonely pathetic ugly lowlife man/woman who's life events are: staying on formspring creating fakes and starting shit. Seriously  I'm not the bitch  you are. END OF STORY. KCOOLBYE.,1
70,obese,1
71,oh god not you again.,1
72,ohh look the girl who fakes herself....,1
73,Ok bitch.. wanna get started on me ?.. Ok one faggot is an over used term that people try to use on me to get me to feel bad.. two.your nothing but alowlife bitch who gets the kicks out of starting shit with people don't comestarting shit on my formspring,1
74,Okae then bitch you dont got any quick comebacks now do you you fucking FAKE!!!/,1
75,SLUT LEAVE BETTY ALONE CUNT FACE,1
76,stay off of my formspring? I don't even know who you are..,1
77,STFU YOU HOE. you piece of shiit.,1
78,stop annoying betty btw. you're  a really sad little girl/boy . You think ur all grown up now using big words . stupid child  living a fake life behind a damn keyboard and a screen. how more pathetic can you be ?,1
79,stop leaving stuff like fake on your own formsrping. dead give away dumbass. SUCK A CUNT,1
80,Stop making fakes of yourself. You are ugly as fuck. You're not actually 16 bitch. And you're deff not a cyrus. Get a mother fucking life  cunt.,1
81,sure  but you must spamr http://www.formspring.me/ddox3r r http://www.formspring.me/juliex2r or we wont continue spamming your (:,1
82,u know u care that betty is way better looking than u,1
83,Ugly piece of shit,1
84,ugly.,1
85,Uhm you did  right down there vvvvvvv. You're the 'dumbfuck'.  Stop starting shit with everyone  kcoolbye.,1
86,Ur face is nasty,1
87,what am i going to do? hahaha  what am i going to do? haha  what im going to do is get some bitchess to kick the living shit out of your ugly fake wanna be bitch made ass.,1
88,who the fuck are you even?,1
89,why are you still alive?,1
90,why are you stupid,1
91,Why did you fake yourself? That's lameeee you know there is like a lot of hate groups on myspace of you?,1
92,why not? and all you have to say is nope. oh and leave people alone(: delete this you fucking fake :),1
93,wow you're a fucking fake. if you're tired of everyone talking shit on you formspring  either stop talking shit to them first  or delete the damn thing. gosh  you're fucking retarded. I forgot how stupid people are these days  and that would be you.,1
94,Wow you're fucking stupid. You told a girl whoo had her info showing Show your face anonymus and your comebacks fucking suck. Fighting over the Internet is like being in the special olympics  even when you win  you're still retarded.,1
95,y do u have a big nose seriously no girl have a big nose ?,1
96,you are nasty. (:,1
97,you are stupid and ugly.,1
98,YOU DONT EVEN FUCKING HAVE FAKES STOP THE FUCKING BULLSHIT AND GET A LIFE JEZUSS. HOW OLD ARE YOU KID? LIFELESS BITCH YOU NEED HELP.,1
99,YOU SHOULD DIE,1
100,you should listen to the song big weenie by eminem (: it describes you SO much!!!!! everyone feels this way towards you xD,1
101,You suck =],1
102,you sure as hell look like a dog.  don't fucking call me 'hun'.  got it.,1
103,you're fucking pathetic,1
104,you're one of the ugliest bitches I've ever fucking seen,1
105,You're really rude. What the heck is your problem?,1
106,you're the bitch :) fuck off.,1
107,your a fake. your a fake for calling the REAL hailey fake on her formspring. what a lame bitch :),1
108,your a fuckin ugly bitch you look like a man in the face :),1
109,your background stupid tooo,1
110,your come backs are fucking horrible you dumb bitch. wtf  are you like fucking five? you're like. 'i know you are but what am i?' yeahhhh. no. bitch get a fucking life.,1
111,Your comebacks suck balls,1
112,Your comebacks suck balls,1
113,Your face is nastyy,1
114,your fucking ugly.,1
115,your mad ugly. true talk.,1
116,your not FUCKING pretty  stop hating on grace and all these pretty girls  your just jealous. omg,1
117,Your probably the one faking KAI! HUH! FUCKING BITCH!,1
118,Your so fucking immature I'm sorry you have no friends so you have to be rude to everyone,1
119,your thing says your very sexy.. lololol hah ! LIES ! ! :),1
120,your ugly as fuuuuck ( : betty is 10000% prettier than youuu  so stopp being a bitchhh.,1
121,your ugly,1
122,YOURE UGLY (:,1
123,andrew once again stop talking to MY friends. nobody likes you. you think your hot shit and thats whats annoying. bye failed rapist :),1
124,ASSHOLE,1
125,Aw see even nico does nott want too go near you. I like that you try and typeall ghetto. YOU dont fucking scare me you bitch. Ill fucking kill you if we faught. You'd probably bring your ghetto friends Bahahaha. Who would that be? Bella and kendall? Pff,1
126,Aww you'll have some beat my ass? Your not badass enough to do it yourself? Exactly what imeant by pussssssyss<33333,1
127, Vaginaaaaaaaaa???,1
128, Not really  why don't we just have sex? :D hahahaha,1
129,Dont squirm motha fucka! its just a syringe. in my spare time i skin these NIGGERS and hit up the nigga nico to binge! Aha what up nigga zure!,1
130,dudde ima fuuck you til you bleed:),1
131,dude you are such a fucken fagget ahahaha,1
132,EW FUCKKK NO SHES UGLY AS FUUUCCKKK.,1
133,ew i wuld never be jelous of ur life. coke yup thats a drug to but u still seem to handle with it a lot. no one gives a flying fuck about ur life and leave andrew the fuck alone bc u only hate him for the firey cunt,1
134,ew VVVVVVV,1
135,exactly. ur not hard get the fuck over urself,1
136,Frances seriously stop trying to make people feel bad for you  ugly bitch.,1
137,fuck no im not jealous of the ugly ass freak.,1
138,haaha cutee. yourr callingg mee ahh pussy when your bitchass wont leave a name right? you wanna get down  im telling you im down. one on one. letss goo ( : FAKE BITCH'<333,1
139,haha i knew youu would [: andd umm this kids a creep  worse than you! bahahaha VV  woww yourr retarded  lol [[;0,1
140,haha keep saying shit ill kill you,1
141,I DO know you on a personal level. Bitch.,1
142,I DO SUPPORT YOU I JUST WISH YOUD BE DATING SOMEONE ACTUALLY CUTE.. NOT JUST DATING HER FOR HER BIG ASS.,1
143,i dont givafuck. ur friendless  previously stated in one of my other comments. except for firey  bitch,1
144,i guarantee you guys wont be going out by the end of summer..,1
145,i hate ur fucking guts. u  lindsey? grossest thing ive ever seen,1
146,I have my shit straight  she wears like the same T-shirts.. her little pink and white stripped shirt or the plaid blue and red or pink shirt or whatever  and maybe some random ones.. with jeans or shorts and vans. OWNED.,1
147,i hope you know i hate you. frances is one of my best friends! ass hole!,1
148,ill fight you bitch,1
149,im not Jewish im catholic so suck a dick,1
150,im not the one who said sext me but i was the one joking about the inappropriate messages. who do you think i am? :),1
151,lets see it then ? ( :  i was born in th ghetto si wtfuhh you know bout tht cuhh? ahaha not a damn thing! get on my level trickk. show a name  catchh ahh fade lil homiee.  no you know what dont stay away from me  come find me bxtch ;D<33,1
152,Lindseys one of the coolest chicks at poly so stop hating.  Shes more mature than you'll ever be. I've seen her fight  i dare you to fight her.,1
153,no it's too fun,1
154,No you wont.,1
155,no. I hate taylor she used to b firey until she dyed her hair,1
156,not telling. you will have to just find out on your own. it probably won't be too hard though.,1
157,oh frances hunny dont try and talk all ghetto your white ass doesnt fucking scare me  i will break you in fucking half.,1
158, You're very annoying,1
159,PLAYER !,1
160,r u gay,1
161,say it to my face trick ass nigga i will fxckin murder you i aint tryna make no body feel bad so you can hush that you got something to say then please  step up  show a namee fuckinn bitch. whuss up?!,1
162,too late  i hate you,1
163, hehe i know  people are stupid like you ...and i knew it was you ;))),1
164,WHATEVER. Im gunna leave before you guys cry  get yourselves hurt  i mean your begging me to leave  bye pussys!!!!!!!!!!!!!,1
165,WHORE!,1
166,yeah go ahead and play victim  i do know you nico. thats how i know your a player.,1
167,You and frances gross me out  nastiest couple ive ever freakin seen. Your way out of her league like no joke.,1
168,your a fagggggg,1
169,your my bitch and ill kill you nigga,1
170,your so gay haha,1
171,your still gay and a bitch haha,1
172,Your the one talkin shit back.. fuckstick? i mean seriously how 5th grade can you get?,1
173, i killed a man.,1
174,Adolf Hitler was a one testicled vegetarian. What did you do with his other testicle?,1
175,After how many kids would you get your tubes tied/// guys:  A vasectomy? (random),1
176,Are you afraid of clowns?,1
177,Are you an ass? I am  idgaf :D r,1
178,choose: be cross-eyed person or be a cripple?,1
179,Do you fall for Internet advertisements?:,1
180,Do you know what dog treats taste like?,1
181, Yes Sure. Why would you spam that? do you not have a bf?,1
182,Fucken guys flirt with every bitch on here lol girls too,1
183,Have you had unprotected sex? (too much? delete it) I have :),1
184,How many pairs of underwear do you own?:,1
185,I CAN BE YOUR SEX SEX TOY I I CAN BE YOUR SEX SEX TOY  I CAN BE YOUR MALLIBU BARBIE  I CAN PLAY PLAY FOR YOU BABY WHEN YOU GET LONELY  I SAID I CAN BE YOUR HANNAH MONTANA I CAN MAKE YOU MOVE IN WAYS YOU CANT IMAGINE.,1
186,If you could punch one celebrity without any repercussions who would it be?,1
187,If you found out someone was somehow pregnant by you(for men) or you were somehow pregnant(for women)  how would you react?,1
188,Im in _______ bitch!!! (your city lol),1
189,Is it cool to be dumb these days? If so I don't like the trend.,1
190,kaydoll is bettaa than rhubinathy cuss she will suck my dick and the othe fat hoe wont and i luv it my sluts,1
191,Please stop harassing me on my formspring :(,1
192,r Do you think their parents know they are stalkers?,1
193,SMILE4MEXXX IS TRAILER TRASH. A RACIST FAT COW. A BIMBO FUCKING SLUT. AND WORTHLESS AS HELL. ALL SHE'S GOOD FOR IS SOMEONE USING HE BODY FOR SEX AND DUMPING HER ON THE STREET WHEN THEY'RE DONE USING HER ;),1
194,Stop asking yourself questions,1
195,what accent bothers you?,1
196,What do you think about your parents who smoke pot around their children?,1
197, you have ur nipples pierced. ha,1
198,What is the most needed feeling if life?,1
199,what's the worst thing that a friend did to you?,1
200,when do your boobies make a public appearance?,1
201,Who are the 3 most overrated musicians?,1
202,whose betaa www.formspring.me/KayDollBitchh or www.formspring.me/rubinathy15,1
203,Why doy ou think we are greedy? Is this by nature? Or do we learn it?,1
204,whyy dose rubinathy15 ask stoopid questions? erase the dum betch,1
205, tell him you wanna get sex with him ;),1
206,Lmao You So Dumb! One Tv SHOW and You Said a Whole TV CHANNEL... Lol. Anywho  How Are YOU Mr. Ching? :-)<br>,1
207,809 9501 <----Alexis's Phone Number   Ima post It On Myspace!,1
208, Well   I guess I love youu too whore(:,1
209,Are you a lesbian?,1
210,Are you ahh virqin pussy?,1
211,ayee that tootsyy girl iss fuckkin F A K E,1
212,Baby you got some awesome titties!,1
213,Bitchezz beloww me I would say ur name but yeww put it on anonymus pussy ass bitchez talkin shit on Alexis she ckan show Herr  fuken boobs if she wants don't be jealous cuz yeww prolly don't gawt any it's ok tho and bitch wen she sayz write to her she,1
214,Bitchh really yur saying shez fat now bitch yur probly the fat lonely ass flat chested bitch who ckant get none so stop hating AND PLEASE BITCH TAKE YUR SHIT OFF ANONYMUS DUMM ASS BITCH !!!!!!,1
215,Bitchhezzz damm wat the fuk is yur problemm??!! Ferr real yeww guyz need to take it the fuk off anonymus and tell us who the fuk yeww are and wen and where yeww Wana qet down I lovee yew Alexis <33 yur nawt a bitch fuk them:)) aha pussiez -marissa,1
216,BJ or HJ?,1
217,BOOBiES!!!!!!!!!!!!!!!!!!!!! i lahh uu2665 fuck bitches get money!(: lolzz member?,1
218,Damn Baby - you are HOT!  What a pretty face and a great set!,1
219,dayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm lil pussys take it of anonamis or watever -stephanie iloveyou alexis :),1
220,Did u now tht ur ugli,1
221,Do u wnt 2 suk my dick?,1
222,Dumb bitch! Fuchkkk you and your stupid friends! Your all pussies! None of you can handle on your own! You always need your friends to get in everything!,1
223,fuck you lickers! GO CELETICS,1
224,FUk you yall betches!!,1
225,go 2 hell,1
226,Hahaha i made you cry in 6th today.!!(: ohh yesss cause my boobs are just soo BIG.!ha i wish....andd VVV im guessin shes a C 34..am i right.?(: ahha,1
227,Hey bitch boobs don't count when the only reason you have them is because your FAT!!!,1
228,Hey bitch don't get mad at people who write on here cause YOU ask people to write to you.,1
229,I hope yhu dnt thinkkk yhur prety casue yhur not!,1
230,i lovee youu alexiss<33r and i hate dominic(:,1
231,im gnna fxk u up!!!!!! ur a dum hoe,1
232,Kikk her ass?? VVV haha wtf try her bitch i dare yuh!!!! ily alexis,1
233,Liar you don't have a bf! VVV,1
234,Meanzz to ask her questions and stuff nawt talk shit on anonymus pussy ass bitchez watever tho yew guyz don't mean shitt to her and don't affect her so be a bitch to Someone who cares pussy ass fuken ugly bitchez fukk youu!!!!! Love alwyz marissa <3 ily a,1
235,member do you have a big penis xD lmaoo,1
236,my momss a BITCH.! shee fuckin blockedd my texting.! aha ohh i mightt hang out wiff Davidd memberr himm.?<3(:,1
237,Oh ISSS THAT FAGGOT ISAYAH GOIN TO BEE DER???,1
238,Pussy,1
239,Remember that gurl u fight last year?,1
240,SARAH STANFORD TAKES IT UP THE BUTTHOLE.,1
241,the fukk?,1
242,Tootsy is eww,1
243,Ur short :) bt ur a cutey,1
244,VVV so you have nutts? i dont think so. hahaha,1
245,Why r u such a bitchh??? I hate u I'm gonna kick ur ass whore!!,1
246,Would you ever cheat on Chris?,1
247,YHUUU READY TO GET YHUR A$$ BEat THIS SATuRDAYY?!?!?!?!?!??!?!?!?!?!?!!?!??!?!?!?!?!?!!?!?!?!?!?!??!?!?!!!??!?!????!?!?!?!?!?!!??!!??!!??!?!?!!?!??!?!?!?!?!?!???!?!?!?!??!?!?!?,1
248,YOUR NOT FAT ALEXIS!! SHe'S THE FAT ASS lOW LiFE BITCH!!!,1
249,Your to young what love is bitch so do you use it!!! Dumb whore put your boobs away!!!,1
250,Your ugly x)!,1
251,! w@n+ y0 b!q d!(k $uRf@(!n m@ l!pSz$,1
252,!m @ q!rl d03 ! $0 ju$+ cum @n l!(k m@ cum n m@ pu$$zzy,1
253,!m@ b3 pu++!n d!$ pu$$zzy 0n y@ $!d3 burn$ !n @ $3c0nd. @l$0 ! D0 d@ b3$+ d33p thr0@+ !n d@ vv0rld. ! C@n $h0v3 13 !nch3$ d0wn m@ +hr0@+ @+ 0nc3. ! @!n+ ly!nq,1
254,Awwhhhaa *my 0rq@$m*,1
255,aye dhis daddy pelt,1
256,B!+(h !M@ B3 PUMP!N D!S$Z D!(k !N Y0 3@R S0 H@RD DAM BRUH I BUST3D A L0@D 0F CUM !N MA M0MMASZ HA!R SH3 MO!STURIZIN IT DO3. I P!CTURE Y0 VA@GIN@ T0 BE3 ALL H@!RY N $$H!ZZZZ W@!T T!L ! MUNCH ON DAT N@PPY BROWN H@!RY H@!T!@N PUZZIE,1
257,bitch i can rap beta den yo ugly ass,1
258, suk my dik pussy,1
259,fuck you bithc,1
260,damn whyy all dhese girlss askinqq bout ur dickk.?,1
261,did alix suk yu up,1
262,Does hoes nasstty,1
263,DUUUU YUUUUU SHAVE Y0 D!(K,1
264,fUck ur mom pussy,1
265,fuck hard fuck you cunt,1
266, i heard u suck people dick,1
267,I LUHH DHAT PIC NEGRO ITSZS SEXY LEMM3 SUCK Y0 D!K????,1
268,i see yo dick n it look tasty,1
269,I WANT DAT DICK,1
270,i wNna suck ur dick so hard,1
271,i wunt y0 cUm surfacing dh@ rimsz of ma lipszzz,1
272,i wunt y0 di!ckk .,1
273,I WUNT YO CUM ON MY LIPSZ.,1
274,IMA BITE DA TIP OF YO DICK OFFF N SPLATTER IT INTO ITTY BITTY PIECES,1
275,is u gay,1
276,iz it tru dat yu wuz shakin y0 meat to da hannah montana show,1
277,iz yyo cum realie gray????,1
278,KUM ON DEN WIT DAT BIG DICK,1
279,lmfao shxt dhatss whyy dheyy anonymouss ckuss dhem hoess nastyy n i saiid dnt get hurt ckuss yew bee gettinqq slickk n dnt bee fuckinqq wit mhe,1
280,lolss brah im tired of these girls writeing me like foreal man control yo groupiess,1
281,lolss slickk mouthh aihh,1
282,lolss so watss up witchaa yew,1
283,lolss yew stolee dhat sxht frm mheyew on sum otha shxt dressedd in all blackk lolss wow,1
284,fuck u DOWNNNN!!!,1
285,mikey wassup my niggah ! ???,1
286,lets have a group sex,1
287,you are a sexy bitch,1
288,you r a dirty bitch,1
289,your mother is a whore,1
290,NIGGGAH ISZ u CIRCUMSIZED,1
291,OMMMMF suck your  dick,1
292,so do yew havee a myspacee,1
293,U hot pussy,1
294,uhmm bestie... y dnt u evr get da braces?? ya teeth are fucked up???,1
295,wake up small pussy,1
296,lets fuck hard,1
297,Wood you smash nd fuck tevon ???,1
298, y Not she a gurl rite nd she got a pussy !!! lol hehe,1
299, ya damn rite she gota have ass n be kute ya feel my dick,1
300,y when you suckd my dog up you was chokin and shit?,1
301,y0 lip bitin pic uqlie azz fuck!! n ya dick small alix told me!! nigga yew juzz ugly!!,1
302,y0 sk!n iSZ d@ col0R oF mah P00P,1
303,Y3@@@ NIGG@ YUHH LUUK GAY,1
304,YEW EVA CUNSIDERED SMASHIN A WHIT3 GURL WIT NICE NIPPLES?????????,1
305,yo mikeey why did you and zurii break up,1
306,YO VAGINA FLAPPY,1
307,yu a dam lyee mikey yu kno ya mom fuck your dad behh tearn ya asz up.,1
308,Yuh a cocky boy? I lyk dhat,1
309,YUH FUCKIN Sexy ass LIP BITIN NIGGA,1
310,Yuh styll feelinme,1
311,yuu kno yuu so lame? ndd yuu caint tlkk to that muchh qurls hav yuu seen yurselff hahahahahah noooo,1
312,does the guy u are with at lunch and u talk to does he have a gf =),1
313,FUCK YOU YOU SON ,1
314,hello mr gay fuck,1
315,I wanna fuck you.,1
316,Josh!!!! you are a desparate little guy,1
317,lol ok now ur just straight up lying. faggot.,1
318,ok this is tatum krista's friend this is her profile thing and i wanted to go on hers cuz she told me she had ?s on herer she didnt answer cuz there stupid and i wanted t oread them so i did but she told me about you and she is not obsesed with you,1
319,see i told u tht u r a playa. stop playing girls u cunt..,1
320,she is not OBSESSED with you like pussy,1
321, Peace u bitch!,1
322,This is not fucking simple she is really whore dont date her,1
323,thx 4 not talking to me anymore fuck u bitch,1
324,who tha fuck is he ; he has a small dick,1
325, I don't ve always liked you pussy sooo get outta my bisnatch!!!,1
326,wow ur girl dani has a lot of guys on her top...but i'm sure u have nothing to worry about. (;0,1
327,ya i know cuz i am letting you know who this is. r my name is Tatum Not kris u asshole hoe,1
328,YOU ARE MEAN,1
329,.. STFU TABI ... you may not be fake .... but your a bitch annd need to go back to Idaho .. HOEEE ... orr just go to W'ford.. your better off ther anyways (: .. you have like 1 maybe 2 friends in brock  soooo leave,1
330,...If you want to go back to Idaho so bad why dont you??? ... Texas doesnt want you here anymore than you want to be soo .. just leave!!!,1
331, then she is a fake  give me her link.,1
332,Any chance if I have a shot with you? I LOVE girls drugs and sex!  So tell Justin boy to fuck off? Pryce,1
333,are  you a vergin,1
334,are you bulimic pussy?,1
335,are you fake?,1
336,Ballfuck  she's real. Get over it. ride my dick vv,1
337,Ballfuck  she's real. Get over it. ride my dick vv,1
338,Besides  the chick who's starting shit won't back it up and isn't even saying who SHE is. she is a fake,1
339,u C cup or B cup,1
340,damn go jack off watching a monkey fuck DAMN,1
341,dearest babydoll  vv Stop trying to start shit  grow the fuck up. I mean really? Is this what you do for a living is ask people if they're fake  ruin peoples lives? Grow some balls  grow up   stop starting stuff(:,1
342,Do you honestly think I would leave a comment on your formspring telling you to be nice to me? I don't know who that was. PS I stuck up for you when that girl was being mean  so I'm pretty sure I have been niceee,1
343,Do you lick dick?,1
344,Do you want me to rain on their parade? Sure hate ignorant Texans who believe that being from Texas gives them the right to act like low level scum suckers. The need to live in the real world and pull their head out of that dark place they have it shoved. fuck pussy like u,1
345,eat a dick you complain about texas all day shove it it! you just got told your suck a dick! so eat one,1
346,Ever been called a whore?,1
347,fake doesn't mean you look pretty?,1
348,Fakeeeeee????,1
349,Fakeeeeee????,1
350,Girls just wanna be you Tabi since they're using your pictures. You're obviously hot (; SHE'S REAL DUMB FUCKS.,1
351,Hah wow if your so sweet and innocent why are you always like stfu and wtf. I don't buy that I'm standing up for myself shit you can stand up without being a bitch. If you don't like what people say don't post unless your just looking for attention. Damn.,1
352,Hahaha ohmyGod you are an actual jerk,1
353, haha they are to small minded whore >:D,1
354,Here's an idea  how about stop trying o get hook up with Tabitha and actually find someone who can suck you 3 inches dick  hahaha doubt that will ever happen. No girl likes a pevert and a douche(:,1
355, Hey  stupid people! See everyone here who knows Tabi in real life? Yeah  if you're that retarded to still call her fake then you should not be operating a computer. Just saying. fuck out of here. eat your mom  pussy,1
356,Hey i love daydrien too :D no homo,1
357,HEY!!TABILO! I JUST READ YOUR BIO AND I LAUGHED OUT LOUD!!I LOVE YOU   QUESTION:WHAT IS YOUR FAV.SONG/MOVIE/BOOK?I DID THE QUESTIONS IN BULK TO SAVE TIME!!!!O AND GUESS WHO IT IS !!,0
358, you Hoe,1
359,How's having like no friend's ? u ashole,1
360,I don't fucking like  Tabitha! I don't like girls who lead on pussy like you!,1
361,I fucking hope you move you bitch!!!!,1
362,i have been the one who has been calling you a hoe and shit cuz bitch justin has a fucking girl friend so back the fuck off and quit throwing your self at him. you r a whore.,1
363,i love how u have no life :):):):) <3 hahaahahahaaha. actuallyyy  you have no life for sayin that. i love my life.  i seriously laughed when i read this^^ you dont have a life  bcause no one likes you :) dumb bitch  get it striaght in your headu2665,1
364,i love how u toold maddi to delete this monster  when u havnt even deleted your monster. yaa  biiittch.,1
365,i thiink its pretty funny that your like  stfu when  you wasted your time writing that? how about you stfu and stop wasting your time replying tabi.,1
366,if i saw you without clothes i would baite as in master,1
367,If your gonna call someone fake .. at least speel it right ...stupid  geez ... ily Tabiaah!!,1
368,jack needs to grow a ball,1
369,Leave Tabi alone  I know for a FACT she hasn't done anything to you. Pretty sure it's pathetic you're saying this shit anomalously because you don't have the balls to say it to her face. Who's fake now? Grow a pair and shut the hell up. We don't CARE. you fake bitch,1
370,Leave Texas bitch!! No one here wants you!! Quit hating on Texas and Brock  we were perfectly fine without you BITCH! ... sooo LEAVE!,1
371,No no no(: u are dick to people (; jk,1
372,quit fishing for compliment and saying your ugly  it's so annoying,1
373,Really? Because i know many people who dont like you. Most of them claim to be your friend. Sooooo  stfu :),1
374,Screw the people who are dicks to you. :D,1
375,Stop Calling Tabi Fake Obviously Your The Fake Bitch That Don't Have A Life I Don't Know Tabi But She Seems Like A Nice Person.,1
376,Tabi isn't fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((:,1
377,Tabitha  ISNT a fake,0
378,tabither youd be good at this,0
379,They're called you  skinny jeans.,1
380,this is a place for QUESTIONS  try asking some. but really.,0
381,To the question below  when you said: im not fat? Arent you suppose to say I'm not fat  PERIOD? Cause if you put a question mark your saying your fat. DUMMY fuck.,1
382,Ur facebook is a fake  cos I saw 5 other facebook with the same but diff last name and same pics and 1 has proof,1
383,ur not that pretty... and u think that ur the prettiest girl..wow its stupid..,1
384,Uuhh did you really add a random guy you don't know and now you talk to him all the time? That's a little desprate/ creepy of u fake,1
385,Vvv You Have No Life Haha ,1
386,Wait. Are you Cheyenne? I sent a request to you? Wait  why is your name Tabitha?? R u fake????,1
387,Wait. R u fake????,1
388,were you honest when you said i could never leave your bed?,1
